agency_id,metric_key,value_numeric,value_text,unit,period_year,as_of_date,source_name,source_url,source_pub_date,confidence,notes
US-KS,recommended_caseload_standard,30,,count,2023,2024-09-16,Kansas Reflector / KS Legislative Post Audit,https://kansasreflector.com/2024/09/16/kansas-foster-care-report-brings-grim-picture-of-minimal-progress-into-focus/,2024-09-16,medium,"DCF max 24-30 for CONTRACTED case managers (privatized), not public CPS"
US-TN,caseworker_turnover_rate_pct,17.6,,pct,2024,,Tennessee Comptroller Performance Audit (DCS),https://www.wsmv.com/2025/12/16/comptroller-finds-lack-oversight-unnecessary-operational-delays-tn-dept-childrens-services/,2025-12-16,high,"Case manager turnover 2024"
US-TN,caseworker_turnover_rate_pct,23.1,,pct,2025,2025-09-30,Tennessee Comptroller Performance Audit (DCS),https://tennesseelookout.com/2025/12/17/despite-improvements-dcs-continues-to-fail-tennessee-children-audit-finds/,2025-12-17,high,"CPS case manager turnover FY2025"
US-TN,vacancy_rate_pct,20,,pct,2025,2025-09-30,Tennessee Comptroller Performance Audit (DCS) via WATE,https://www.wate.com/news/tennessee/tennessee-released-findings-in-audit-on-department-of-childrens-services/,2025-12-16,medium,"CPS vacancy rate 20%; Special Investigations Unit 31%"
US-TN,avg_caseload_per_caseworker,20,,count,2025,,TN DCS policy / WKRN,https://www.wkrn.com/news/local-news/dcs-reports-decrease-in-caseloads-staffing-shortage-gaps-filling-across-the-state/,2023-08-01,medium,"Regional monthly average target; some regions much higher"
US-TN,recommended_caseload_standard,20,,count,2025,,TN DCS Policy (PowerDMS),https://public.powerdms.com/TNDCS/documents/2099674,2025-01-01,high,"No more than regional monthly average of 20 open cases after first year"
US-TN,children_in_foster_care,8991,,count,2024,,America's Kids Belong (citing TN DCS custody data),https://americaskidsbelong.org/states/tn/be-a-foster-parent-tn/tn-foster-care-and-adoption-faqs/,2024-01-01,medium,"Over 8,991 in state custody; range 8,000-9,000 across sources"
US-TN,cps_investigations_annual,66000,,count,2023,,TN DCS FY2023 Annual Report via Tennessee Lookout,https://tennesseelookout.com/2024/07/02/deaths-of-tennessee-children-from-suspected-abuse-or-neglect-rose-nearly-30-in-2023/,2024-07-02,medium,"More than 66,000 investigations FY2022-2023"
US-TN,caseworker_entry_salary_usd,50600,,usd,2023,,TN DCS / WSMV,https://www.wsmv.com/2023/03/01/dcs-announces-pay-increase-case-managers/,2023-03-01,high,"Entry case manager salary after Dec 2022 market adjustment"
US-TN,bls_social_workers_median_wage_usd,56390,,usd,2024,2024-05-01,BLS OEWS 21-1021 Tennessee via snippet,https://www.bls.gov/oes/current/oes_tn.htm,2025-04-01,medium,"Median annual wage May 2024; bls.gov blocks direct fetch"
US-TN,min_education_required,,Bachelor's degree,,2025,,TN DCS Case Manager Minimum Qualifications,https://www.tn.gov/dcs/about-us/employment-opportunities/cm-min-qualifications.html,2025-01-01,high,"Bachelor's required; no social work degree specifically"
US-MD,caseworker_headcount,1042,,count,2023,2023-08-31,MD DLS Report on Child Welfare Caseload Data,https://dlslibrary.state.md.us/publications/JCR/2023/2023_141-142_2023.pdf,2023,high,"Filled child welfare worker positions, 12-mo avg; from snippet"
US-MD,supervisor_count,222,,count,2023,2023-08-31,MD DLS Report on Child Welfare Caseload Data,https://dlslibrary.state.md.us/publications/JCR/2023/2023_141-142_2023.pdf,2023,high,"12-mo avg Sep 2022-Aug 2023"
US-MD,vacancy_rate_pct,8.9,,pct,2025,2025-06-30,Maryland FY2026 APSR (DHS/SSA),https://dhs.maryland.gov/documents/Data%20and%20Reports/SSA/Annual%20Progress%20and%20Services%20Reports/2026%20APSR/Maryland-FY-2026-APSR_Final-1.pdf,2026,medium,"Caseworker vacancy fell from 15.8% to 8.9%; from snippet"
US-MD,caseworker_turnover_rate_pct,12.23,,pct,2025,2025-06-30,Maryland FY2026 APSR (DHS/SSA),https://dhs.maryland.gov/documents/Data%20and%20Reports/SSA/Annual%20Progress%20and%20Services%20Reports/2026%20APSR/Maryland-FY-2026-APSR_Final-1.pdf,2026,medium,"Staff turnover decreased from 14.87% to 12.23%; from snippet"
US-MD,children_in_foster_care,3635,,count,2024,2024-09-30,ACF Children's Bureau AFCARS Dashboard FY2024,https://acf.gov/sites/default/files/documents/cb/2024-afcars-dashboard-printable.pdf,2024,medium,"Point-in-time Sep 30 FY2024; from snippet"
US-MD,caseworker_entry_salary_usd,38117,,usd,2024,,MD DHS Human Services Careers Scholarship,"https://dhs.maryland.gov/documents/Initiatives/The%20Human%20Services%20Careers%20Scholarship/Targeted%20Positions,%20Salaries,%20and%20Qualifications.pdf",2024,medium,"Casework Specialist (Grade 14) range min; from snippet"
US-MD,caseworker_salary_max_usd,68887,,usd,2024,,MD DHS Human Services Careers Scholarship,"https://dhs.maryland.gov/documents/Initiatives/The%20Human%20Services%20Careers%20Scholarship/Targeted%20Positions,%20Salaries,%20and%20Qualifications.pdf",2024,medium,"Social Worker II (Grade 16) range max"
US-MD,annual_preservice_training_hours,40,,hours,2024,,MD Human Services 4-301 / MD Child Welfare Academy,https://law.justia.com/codes/maryland/human-services/title-4/subtitle-3/section-4-301/,2024,medium,"40-hour preservice training for newly hired caseworkers"
US-SC,children_in_foster_care,3402,,count,2026,2026-05-04,SC DSS Foster Care Dashboard,https://dss.sc.gov/about/data-and-resources/foster-care-dashboard/,2026-05-04,high,"Live dashboard count"
US-SC,recommended_caseload_standard,15,,count,2024,2024-10-30,Michelle H. v. McMaster settlement / SC Appleseed,https://www.scjustice.org/dss-settlement/,,high,"Court-ordered standard; investigators limited to 8"
US-SC,supervisor_to_caseworker_ratio,17,,ratio,2024,2024-09-30,Michelle H. Progress Report Apr-Sep 2024,https://dss.sc.gov/media/thjffdcw/michelle-h-progress-report-for-the-period-of-april-1-september-30-2024.pdf,,medium,"Reported as 1:17 supervisors to case managers"
US-SC,caseworker_entry_salary_usd,40000,,usd,2022,,SC DSS Workload Implementation Plan Appendix,https://dss.sc.gov/media/uoqnloq0/appendix-to-dss-workload-implementation-plan.pdf,,medium,"Trainee baseline starting salary; +15% at Level 1"
US-SC,min_education_required,,Bachelor's degree (BSW/social science preferred; any bachelor + 1 yr experience),,2024,,SC DSS job postings,https://www.governmentjobs.com/careers/sc/dss/jobs/5158927/child-welfare-services-case-manager-midlands-region-continuous,,high,"Alternative path: any bachelor + 1 yr experience"
US-SC,licensure_required,,No,,2024,,SC DSS job postings,https://www.governmentjobs.com/careers/sc/dss/jobs/5158927/child-welfare-services-case-manager-midlands-region-continuous,,medium,"Not required; must complete Child Welfare Basic Training"
US-SC,bls_social_workers_mean_wage_usd,44890,,usd,2024,,classet.org citing BLS OEWS 21-1021 SC,https://www.classet.org/salary/21-1021.00/SC,,medium,"Annual mean wage child/family/school social workers SC"
US-SC,bls_social_workers_median_wage_usd,45190,,usd,2024,,classet.org citing BLS OEWS 21-1021 SC,https://www.classet.org/salary/21-1021.00/SC,,medium,"Annual median wage SC 21-1021"
US-IA,caseworker_headcount,223,,count,2023,,Iowa HHS 2023 Child Welfare by the Numbers,https://hhs.iowa.gov/media/13217/download?inline=,2024,high,"223 HHS child protective (CPS/assessment) workers"
US-IA,caseworker_headcount,351,,count,2023,,Iowa HHS 2023 Child Welfare by the Numbers,https://hhs.iowa.gov/media/13217/download?inline=,2024,high,"351 HHS case managers (ongoing); distinct from CPS workers"
US-IA,avg_caseload_per_caseworker,13,,count,2023,,Iowa HHS 2023 Child Welfare by the Numbers,https://hhs.iowa.gov/media/13217/download?inline=,2024,high,"Avg 13 cases/month for CPS workers; includes adult abuse cases"
US-IA,avg_caseload_per_caseworker,21,,count,2023,,Iowa HHS 2023 Child Welfare by the Numbers,https://hhs.iowa.gov/media/13217/download?inline=,2024,high,"Avg caseload 21 for case managers"
US-IA,cps_investigations_annual,26613,,count,2023,,Iowa HHS 2023 Child Welfare by the Numbers,https://hhs.iowa.gov/media/13217/download?inline=,2024,high,"Child abuse assessments CY2023"
US-IA,cps_referrals_annual,32857,,count,2023,,Iowa HHS 2023 Child Welfare by the Numbers,https://hhs.iowa.gov/media/13217/download?inline=,2024,medium,"Total assessments CY2023 (incl. 6,244 family assessments)"
US-IA,min_education_required,,Bachelor's degree + 3 yrs experience; OR BSW + 2 yrs; OR MSW,,2024,,Iowa HHS Child Protective Worker (Social Worker 3) posting,https://www.governmentjobs.com/careers/iowa/jobs/4271967-0/child-protective-worker-social-worker-3,2024,medium,"Social work degree not strictly required"
US-IL,caseworker_headcount,3886,,count,2025,2025-05-19,State of Illinois CMS press release (via IBJ),https://www.ibjonline.com/2025/05/19/state-of-illinois-marks-highest-workforce-levels-since-2008/,2025-05-19,medium,"Total DCFS staffing 2019-2025; overall staff not strictly caseworkers"
US-IL,vacancy_rate_pct,4,,pct,2025,2025-05-19,State of Illinois CMS press release (via IBJ),https://www.ibjonline.com/2025/05/19/state-of-illinois-marks-highest-workforce-levels-since-2008/,2025-05-19,medium,"Derived: caseworker roles ~96% staffed"
US-IL,time_to_fill_days,111,,days,2025,2025-05-19,State of Illinois CMS press release (via IBJ),https://www.ibjonline.com/2025/05/19/state-of-illinois-marks-highest-workforce-levels-since-2008/,2025-05-19,medium,"DCFS hiring reduced from avg 269 days (2019) to 111 (2025)"
US-IL,caseworker_turnover_rate_pct,20,,pct,2022,2022-04-05,NPR Illinois citing DCFS consent-decree filing,https://www.nprillinois.org/2022-04-05/dcfs-reports-growing-shortage-of-investigative-capacity-as-caseloads-skyrocket,2022-04-05,low,"Five-year statewide turnover 'more than 20%'; older figure"
US-IL,children_in_foster_care,20000,,count,2024,2024-01-02,NPR Illinois,https://www.nprillinois.org/illinois/2024-01-02/illinois-dcfs-stands-on-the-precipice-of-repair-after-decades-of-systemic-issues,2024-01-02,low,"'more than 20,000' annually; approximate, not point-in-time"
US-IL,caseworker_entry_salary_usd,52824,,usd,2025,,Illinois DCFS Child Protection Specialist posting,https://www.governmentjobs.com/careers/illinois/jobs/newprint/2648541,2025,medium,"~$4,402/month for Child Protection Specialist"
US-IL,min_education_required,,Bachelor's degree (master's preferred),,2025,,Illinois DCFS Child Protection Specialist posting,https://www.governmentjobs.com/careers/illinois/jobs/newprint/2648541,2025,medium,"CSWE-approved degree; BA+1yr or BA related+2yr"
US-IL,bls_social_workers_mean_wage_usd,60740,,usd,2023,,IllinoisSocialWorkEdu citing BLS OEWS 21-1021,https://www.illinoissocialworkedu.org/faqs/how-much-do-social-workers-make-in-illinois/,2024,low,"IL annual mean SOC 21-1021; vintage uncertain; secondary source"
US-GA,caseworker_turnover_rate_pct,30.3,,pct,2022,,Georgia CFSR Round 4 Final Report,https://dfcs.georgia.gov/document/document/cfsr-round-4-final-report/download,2024,medium,"Turnover cited in CFSR Round 4; period ~SFY2022"
US-GA,caseworker_turnover_rate_pct,16.5,,pct,2024,,Georgia Budget and Policy Institute citing GA DHS FY2025 budget,https://gbpi.org/wp-content/uploads/2024/02/Gov-Budget_2025_DHS.pdf,2024,medium,"FY2024 as of March 2024 (down from 17.7%)"
US-GA,avg_caseload_per_caseworker,20,,count,2024,,Georgia DFCS data page,https://dfcs.georgia.gov/data,2024,medium,"Median caseload for foster care caseworker reported as 20"
US-GA,recommended_caseload_standard,15,,count,2024,,Georgia CFSR Round 4 Final Report,https://dfcs.georgia.gov/document/document/cfsr-round-4-final-report/download,2024,high,"DFCS working toward 15 per worker"
US-GA,caseworker_headcount,2200,,count,2025,2025-06-03,DFCS Advisory Board Meeting Minutes June 2025,https://dfcs.georgia.gov/document/document/dfcs-advisory-board-meeting-minutes-6325pdf/download,2025,low,"Grew from ~1500 (2022) to ~2200 (2025); approximate"
US-GA,children_in_foster_care,10350,,count,2024,2025-09-05,Foster Care Capacity Project / Child Trends (AFCARS GA),https://www.fostercarecapacity.com/states/georgia,2025,medium,"AFCARS preliminary FFY2024 estimate"
US-GA,cps_investigations_annual,34970,,count,2020,2020-06-30,Georgia DFCS / DHS Child Protective Services,https://dhs.georgia.gov/child-protective-services,2020,low,"Reports investigated SFY2020; most recent citable found"
US-GA,caseworker_entry_salary_usd,47083,,usd,2025,2025-01-01,Team Georgia Careers DFCS Case Manager 1 posting,https://careers.georgia.gov/jobs/dhs-dfcs-child-welfare-services-case-manager-1-00023767-67593,2025,high,"Special entry salary for Case Manager 1 (Pay Grade I)"
US-GA,min_education_required,,Bachelor's degree,,2025,2025-01-01,Team Georgia Careers DFCS Case Manager 1 posting,https://careers.georgia.gov/jobs/dhs-dfcs-child-welfare-services-case-manager-1-00023767-67593,2025,high,"Social work degree not mandated for Case Manager 1"
US-NJ,children_in_foster_care,2707,,count,2024,,Philadelphia Inquirer citing NJ DCF data,https://www.inquirer.com/news/new-jersey-child-welfare-improvements-20250411.html,2025-04-11,high,"Point-in-time; reduced from ~13000 in 2003"
US-NJ,caseworker_turnover_rate_pct,4.3,,pct,2020,,Casey Family Programs / CSSP monitoring data,https://www.casey.org/new-jersey-staff-turnover/,,high,"Caseload-carrying staff; 114 of over 2500 left in 2020"
US-NJ,caseworker_turnover_rate_pct,7,,pct,2022,,NJ DCF Testimony to Assembly Human Services Committee,https://www.nj.gov/dcf/news/testimony/approved/221017_sep_ahu.html,2022-10-17,medium,"Under 10% for ~20 yrs; ~7% cited 2022"
US-NJ,vacancy_rate_pct,2.22,,pct,2017,,NJ DCF Workforce Report FY17,https://nj.gov/dcf/documents/childdata/exitplan/NJ.DCF.Workforce.Report-FY17.pdf,,medium,"Vacancy across child welfare staff; FY16 was 2.34%"
US-NJ,caseworker_headcount,2500,,count,2020,,Casey Family Programs,https://www.casey.org/new-jersey-staff-turnover/,,medium,"Over 2500 caseload-carrying staff; approximate floor"
US-NJ,supervisor_to_caseworker_ratio,5,,ratio,2022,,NJ DCF Testimony / Casey Family Programs,https://www.nj.gov/dcf/news/testimony/approved/221017_sep_ahu.html,2022-10-17,high,"~5:1; 95% of offices meet target"
US-NJ,recommended_caseload_standard,15,,count,2022,,NJ P.L.2022 c.130 / CSSP monitoring,https://newjerseymonitor.com/briefs/new-law-expands-child-welfare-oversight-caps-caseloads/,,high,"Max 15 families for permanency staff; codified in law"
US-NJ,pct_caseworkers_over_standard,0,,pct,2020,,Casey Family Programs / CSSP monitoring,https://www.casey.org/new-jersey-staff-turnover/,,medium,"Almost 100% met caseload standards (near-zero over standard)"
US-NJ,caseworker_entry_salary_usd,52278,,usd,2022,,NJ DCF DCPP Employment / CSC,https://www.nj.gov/dcf/about/employment/dcpp/,,medium,"Family Service Specialist Trainee start; rises to 54684 at 6 months"
US-NJ,min_education_required,,Bachelor's degree,,2022,,NJ DCF DCPP Employment / CSC job spec,https://www.nj.gov/dcf/about/employment/dcpp/,,high,"BSW/MSW preferred; NJ driver's license required"
US-NJ,licensure_required,,No,,2022,,NJ DCF DCPP Employment,https://www.nj.gov/dcf/about/employment/dcpp/,,medium,"Not required for entry; degree-based hiring"
US-NJ,annual_preservice_training_hours,40,,hours,2022,,NJ DCF / Casey Family Programs,https://www.casey.org/new-jersey-staff-turnover/,,low,"40 hrs/yr ongoing PD; plus 12-month in-service for trainees"
US-NJ,bls_social_workers_median_wage_usd,78150,,usd,2024,2024-05-01,BLS OEWS 21-1021 New Jersey (May 2024),https://www.bls.gov/oes/current/oes_nj.htm,,medium,"NJ median annual wage per BLS May 2024 (from snippet)"
US-HI,vacancy_rate_pct,40,,pct,2023,,Honolulu Civil Beat,https://www.civilbeat.org/2023/12/vacancies-in-state-child-welfare-services-jobs-reach-their-highest-point-in-over-a-decade/,2023-12,high,"CWS caseworker vacancy rate; highest in over a decade"
US-HI,vacancy_rate_pct,39,,pct,2025,,Honolulu Civil Beat,https://www.civilbeat.org/2026/05/leadership-turmoil-and-staffing-shortfalls-plague-child-welfare-system/,2026-05,medium,"Caseworker vacancy rate early 2025"
US-HI,avg_caseload_per_caseworker,34,,count,2023,,Honolulu Civil Beat,https://www.civilbeat.org/2023/12/vacancies-in-state-child-welfare-services-jobs-reach-their-highest-point-in-over-a-decade/,2023-12,medium,"Statewide avg; Maui 51 and East Hawaii 49 higher"
US-HI,children_in_foster_care,1959,,count,2023,2023-06-30,US News (AP),https://www.usnews.com/news/best-states/hawaii/articles/2025-01-15/the-number-of-hawaii-children-in-foster-care-dropped-to-lowest-in-decades,2025-01-15,high,"20-year low; FFY ending 6/30/2023"
US-HI,caseworker_entry_salary_usd,72888,,usd,2025,,State of Hawaii governmentjobs posting,https://www.governmentjobs.com/careers/hawaii/jobs/4986168/child-adult-protective-services-specialist-child-welfare-services-statewide,,medium,"Child/Adult Protective Services Specialist SR-23 step D approx"
US-HI,caseworker_salary_max_usd,83076,,usd,2025,,State of Hawaii governmentjobs posting,https://www.governmentjobs.com/careers/hawaii/jobs/4986168/child-adult-protective-services-specialist-child-welfare-services-statewide,,medium,"SR-23 step I approx"
US-HI,min_education_required,,Bachelor's degree with 12 semester credits in behavioral sciences,,2025,,State of Hawaii governmentjobs posting,https://www.governmentjobs.com/careers/hawaii/jobs/4986168/child-adult-protective-services-specialist-child-welfare-services-statewide,,high,"Minimum education for Child/Adult Protective Services Specialist"
US-FL,caseworker_headcount,2200,,count,2025,2025-07-07,FL DCF CPI and CPI Supervisor Status Report FY2024-2025,"https://www.myflfamilies.com/sites/default/files/2025-09/CPI%20and%20CPI%20Supervisor%20Educational%20Qualifications,%20Turnover,%20Professional%20Advancement,%20and%20Working%20Conditions%20Status%20Report%20FY%202024-2025.pdf",2025-09-01,high,"DCF-employed CPIs only; not CBC case managers"
US-FL,caseworker_headcount,1709,,count,2024,,Florida House HB 1127 Staff Analysis,https://www.flsenate.gov/Session/Bill/2025/1127/Analyses/h1127c.HCB.PDF,2025-03-19,medium,"CBC (privatized) case managers statewide; separate from DCF CPIs"
US-FL,caseworker_turnover_rate_pct,45.13,,pct,2024,,FL DCF 2024 Annual CPI and CPI Supervisor Report,https://www.myflfamilies.com/sites/default/files/2025-05/2024%20Annual%20Child%20Protective%20Investigator%20and%20Child%20Protective%20Investigator%20Supervisor%20Report.pdf,2025-05-01,high,"DCF CPI turnover CY2023-24; applies to CPIs not CBC case managers"
US-FL,vacancy_rate_pct,10.24,,pct,2024,,FL DCF 2024 Annual CPI and CPI Supervisor Report,https://www.myflfamilies.com/sites/default/files/2025-05/2024%20Annual%20Child%20Protective%20Investigator%20and%20Child%20Protective%20Investigator%20Supervisor%20Report.pdf,2025-05-01,high,"DCF CPI/CPIS combined vacancy rate (reduced from 14.05%)"
US-FL,avg_caseload_per_caseworker,14.17,,count,2024,,Florida House HB 1127 Staff Analysis,https://www.flsenate.gov/Session/Bill/2025/1127/Analyses/h1127c.HCB.PDF,2025-03-19,medium,"Statewide avg children per CBC case manager (24216/1709)"
US-FL,recommended_caseload_standard,12,,count,2024,,Florida House HB 1127 Staff Analysis,https://www.flsenate.gov/Session/Bill/2025/1127/Analyses/h1127c.HCB.PDF,2025-03-19,medium,"CWLA recommended; FL statutory CBC goal 1 per 14 children"
US-FL,children_in_foster_care,19334,,count,2023,2023-12-31,FL DCF Placement in Out-of-Home Care Data,https://www.myflfamilies.com/services/child-family/placement-data,,medium,"Through Dec 2023; via DCF dashboard summary"
US-FL,cps_referrals_annual,323182,,count,2024,,Florida House HB 1191 Staff Analysis,https://www.flsenate.gov/Session/Bill/2025/1191/Analyses/h1191c.JDC.PDF,2025-04-08,medium,"Total hotline reports and special conditions FY2023-24"
US-FL,cps_investigations_annual,185390,,count,2024,,Florida House HB 1191 Staff Analysis,https://www.flsenate.gov/Session/Bill/2025/1191/Analyses/h1191c.JDC.PDF,2025-04-08,medium,"Verified maltreatment reports opening investigation FY2023-24"
US-FL,min_education_required,,Bachelor's degree,,2025,,FL DCF Careers - Child Protective Investigator,https://prod.myflfamilies.com/careers/job-opportunities/child-protective-investigator,,high,"Bachelor's required for DCF CPI; MSW preferred not required"
